BUYER_STATE,BUYER_COUNTY,MONTH,MME
CO,LA PLATA,10,6333.410000000034
CO,LA PLATA,11,5543.86000000003
CO,LA PLATA,12,5940.00000000002
CO,LAKE,1,1212.9100000000003
CO,LAKE,2,1165.6900000000012
CO,LAKE,3,1501.540000000001
CO,LAKE,4,1385.480000000001
CO,LAKE,5,1261.7399999999986
CO,LAKE,6,1420.5399999999997
CO,LAKE,7,1552.81
CO,LAKE,8,1330.3800000000012
CO,LAKE,9,1348.8599999999997
CO,LAKE,10,1188.6900000000007
CO,LAKE,11,1286.83
CO,LAKE,12,1422.7500000000002
CO,LARIMER,1,57499.5599999976
CO,LARIMER,2,55189.7099999978
CO,LARIMER,3,63934.49999999689
CO,LARIMER,4,60021.6399999979
CO,LARIMER,5,63009.72999999771
CO,LARIMER,6,62192.42999999694
CO,LARIMER,7,63115.6499999971
CO,LARIMER,8,65289.54999999718
CO,LARIMER,9,61991.89999999794
CO,LARIMER,10,65158.93999999714
CO,LARIMER,11,63861.97999999733
CO,LARIMER,12,65592.98999999731
CO,LAS ANIMAS,1,4753.790000000043
CO,LAS ANIMAS,2,4899.860000000026
CO,LAS ANIMAS,3,4246.670000000039
CO,LAS ANIMAS,4,3848.84000000004
CO,LAS ANIMAS,5,3889.790000000044
CO,LAS ANIMAS,6,4322.2700000000505
CO,LAS ANIMAS,7,4271.97000000005
CO,LAS ANIMAS,8,4104.240000000054
CO,LAS ANIMAS,9,4243.020000000046
CO,LAS ANIMAS,10,4378.970000000045
CO,LAS ANIMAS,11,4176.440000000055
CO,LAS ANIMAS,12,4167.9500000000435
CO,LINCOLN,1,1007.780000000002
CO,LINCOLN,2,904.8900000000011
CO,LINCOLN,3,1088.460000000001
CO,LINCOLN,4,863.0100000000004
CO,LINCOLN,5,961.0700000000008
CO,LINCOLN,6,999.1000000000014
CO,LINCOLN,7,966.4800000000009
CO,LINCOLN,8,1025.2400000000007
CO,LINCOLN,9,946.2500000000006
CO,LINCOLN,10,985.3700000000022
CO,LINCOLN,11,971.8200000000015
CO,LINCOLN,12,1077.6200000000015
CO,LOGAN,1,2968.890000000027
CO,LOGAN,2,2824.6900000000114
CO,LOGAN,3,3200.610000000026
CO,LOGAN,4,2761.1400000000212
CO,LOGAN,5,3199.840000000025
CO,LOGAN,6,2994.2500000000273
CO,LOGAN,7,3322.710000000026
CO,LOGAN,8,3097.2400000000275
CO,LOGAN,9,2887.1700000000205
CO,LOGAN,10,3340.010000000035
CO,LOGAN,11,2885.470000000017
CO,LOGAN,12,3523.9700000000257
CO,MESA,1,22713.949999999888
CO,MESA,2,21770.570000000054
CO,MESA,3,24999.619999999697
CO,MESA,4,23760.649999999794
CO,MESA,5,24870.209999999726
CO,MESA,6,24225.82999999966
CO,MESA,7,24494.579999999703
CO,MESA,8,26031.38999999948
CO,MESA,9,24251.879999999648
CO,MESA,10,25330.649999999623
CO,MESA,11,23975.96999999979
CO,MESA,12,24736.32999999961
CO,MINERAL,9,0.3
CO,MOFFAT,1,2544.0500000000093
CO,MOFFAT,2,2467.500000000007
CO,MOFFAT,3,2746.720000000016
CO,MOFFAT,4,2762.150000000017
CO,MOFFAT,5,2609.3800000000147
CO,MOFFAT,6,2728.180000000013
CO,MOFFAT,7,2731.840000000017
CO,MOFFAT,8,3014.980000000024
CO,MOFFAT,9,2806.9400000000205
CO,MOFFAT,10,2939.370000000019
CO,MOFFAT,11,3077.610000000021
CO,MOFFAT,12,3067.400000000022
CO,MONTEZUMA,1,4613.370000000032
CO,MONTEZUMA,2,4166.750000000051
CO,MONTEZUMA,3,5263.560000000025
CO,MONTEZUMA,4,4853.030000000046
CO,MONTEZUMA,5,5097.7600000000175
CO,MONTEZUMA,6,5240.190000000031
CO,MONTEZUMA,7,5153.730000000021
CO,MONTEZUMA,8,4864.080000000035
CO,MONTEZUMA,9,5262.750000000031
CO,MONTEZUMA,10,5425.260000000022
CO,MONTEZUMA,11,5246.710000000027
CO,MONTEZUMA,12,5031.550000000032
CO,MONTROSE,1,5741.850000000023
CO,MONTROSE,2,5130.100000000041
CO,MONTROSE,3,6394.800000000003
CO,MONTROSE,4,5468.810000000031
CO,MONTROSE,5,6229.599999999999
CO,MONTROSE,6,6480.070000000015
CO,MONTROSE,7,5958.93000000003
CO,MONTROSE,8,6412.630000000016
CO,MONTROSE,9,6048.420000000008
CO,MONTROSE,10,6504.290000000005
CO,MONTROSE,11,5911.590000000008
CO,MONTROSE,12,6163.330000000015
CO,MORGAN,1,3949.9100000000553
CO,MORGAN,2,3714.4900000000407
CO,MORGAN,3,4266.900000000054
CO,MORGAN,4,4115.5200000000505
CO,MORGAN,5,3950.300000000052
CO,MORGAN,6,4186.850000000054
CO,MORGAN,7,4079.0800000000563
CO,MORGAN,8,4137.9200000000565
CO,MORGAN,9,4312.720000000049
CO,MORGAN,10,4549.440000000055
CO,MORGAN,11,4283.860000000055
CO,MORGAN,12,4431.440000000047
CO,OTERO,1,6870.960000000022
CO,OTERO,2,7194.120000000014
CO,OTERO,3,7468.829999999985
CO,OTERO,4,6677.589999999978
CO,OTERO,5,6928.819999999985
CO,OTERO,6,7185.969999999993
CO,OTERO,7,7413.949999999996
